english,hindi
Share the temperature for Christmas Day .,Christmas Day के लिये temperature share करे
Delete reminder to buy crayons,क्रेयॉन खरीदने के लिये reminder हटाये
Delete the reminder to pick up the kids tomorrow .,कल बच्चे ko pick up करने ka reminder delete करे
can you play my playlist on spotify,Kya एएपी Spotify par मेरी प्लेलिस्ट बाजा कृपया है
is there a cold front coming this week,क्या is हफ़्ता koi cold front आने वाला है
Is there any traffic within 3 miles of my home,Kya mere घर के 3 मील के अंदर koi traffic है
How many miles is it to California from New York,New York se California तक कितने मील है
Replay the song from the beginning,song ko शूरु se replay करे
Show me daily reminders,मुझे daily अनुस्मारक दिखाओ
Tell my brother - in - law a happy birthday for me please .,please mere लिये mere brother - in - law ko happy birthday कहो .
Add a sad react to my message,mere message me इक sad react ko add करे
Set an alarm for lunch time,lunch time के लिये alarm set करे
snooze all the alarms,सभी एलार्म ko snooze कार्डो
What is the temperture of Higgins Lake,Higgins Lake ka temperature क्या है
I said set a reminder to pack for Afest,मैंने kaha Afest के लिये pack करने के लिये reminder set करे
pause the current timer,current timer ko pause karo
Generate an alarm called wake up and go to the post office tomorrow at 9 am .,Kal शुभा 9 बाजे wake up and go to the post office naam के इक alarm ko generate करेन .
Resume my timer,mere timer ko resume कार्डो
Set 7 am reminder to take out the trash .,कचरा बहार निकलना के लिये शुभा 7 बाजे ka reminder set करेन .
What are my reminders with Amanda next week ?,Amanda के साथ mere agle हफ़्ता अनुस्मारक क्या है ?
Create an alarm that goes off every 2nd Saturday at 4 pm,हर 2nd Saturday ko sham 4 बाजे बजने के लिये इक alarm create karo
any fun sporting events this week,क्या is हफ़्ता koi sporting आयोजन है
Make an alarm go off at noon and 6 pm every day for a month,इक माहीन के लिये हर din डोफर मैं और शाम 6 बाजे ko बजने के लिये इक alarm बनायें
Play some workout music .,कुछ workout music play karo
remind me to buy my sister a bday gift,mere sister के लिये जन्मदिन gift lene के लिये मुझे याद दिलाये
How many miles between Chicago and Detroit,Chicago मैं और Detroit के beech me कितने मील है
eliminate alarm for tomorrow,कल के लिये alarm ko हठ den
Message,Sandesh
How hot is it today ?,आज कितनी गरमी है ?
Repeat the last song .,पिचला गण fir se चलाये
i want to listen to ac / dc on pandora,Mai pandora par एसी / डीसी ko सुन्ना चाहता हू
Make a video message for Carl for his birthday .,Carl के birthday के लिये इक video message बनाये
Please create a new alarm for tomorrow night for dinner .,कल रात के dinner के लिये नया alarm create करे please
Will a jacket sufficient for today ' s weather ?,क्या आज के मौसम के लिये इक jacket sufficient है ?
When is the next predicted hurricane in the US,US me agla भविष्यवाणी की hurricane कब आने वाला है
Message Linda to pick up the cake at the bakery on Thursday,Linda ko message karo गुरुवार के din bakery se cake pick up करने के लिये
How is the traffic heading towards Philadelphia if I leave the beach in 20 minutes,Agar माई beach se 20 मिनट me निकल jaoon to Philadelphia jaate samay traffic कैसा hoga
Tell Joey I had a good time yesterday .,Joey ko bolo की I had a good time yesterday .
